prname,date,numconf,numdeaths
New Brunswick,6/17/2020,164,2
Nova Scotia,6/17/2020,1061,62
Prince Edward Island,6/17/2020,27,0
Yukon,6/17/2020,11,0
Northwest Territories,6/17/2020,5,0
Nunavut,6/17/2020,0,0
Repatriated travellers,6/17/2020,13,
Canada,6/17/2020,99842,8269
British Columbia,6/18/2020,2783,168
Alberta,6/18/2020,7579,152
Saskatchewan,6/18/2020,708,13
Manitoba,6/18/2020,297,7
Ontario,6/18/2020,32917,2568
Quebec,6/18/2020,54383,5340
Newfoundland and Labrador,6/18/2020,261,3
New Brunswick,6/18/2020,164,2
Nova Scotia,6/18/2020,1061,62
Prince Edward Island,6/18/2020,27,0
Yukon,6/18/2020,11,0
Northwest Territories,6/18/2020,5,0
Nunavut,6/18/2020,0,0
Repatriated travellers,6/18/2020,13,
Canada,6/18/2020,100209,8315
British Columbia,6/19/2020,2790,168
Alberta,6/19/2020,7625,152
Saskatchewan,6/19/2020,716,13
Manitoba,6/19/2020,300,7
Ontario,6/19/2020,33095,2579
Quebec,6/19/2020,54550,5375
Newfoundland and Labrador,6/19/2020,261,3
New Brunswick,6/19/2020,164,2
Nova Scotia,6/19/2020,1061,62
Prince Edward Island,6/19/2020,27,0
Yukon,6/19/2020,11,0
Northwest Territories,6/19/2020,5,0
Nunavut,6/19/2020,0,0
Repatriated travellers,6/19/2020,13,
Canada,6/19/2020,100618,8361
British Columbia,6/20/2020,2790,168
Alberta,6/20/2020,7673,152
Saskatchewan,6/20/2020,726,13
Manitoba,6/20/2020,302,7
Ontario,6/20/2020,33301,2610
Quebec,6/20/2020,54674,5408
Newfoundland and Labrador,6/20/2020,261,3
New Brunswick,6/20/2020,164,2
Nova Scotia,6/20/2020,1061,62
Prince Edward Island,6/20/2020,27,0
Yukon,6/20/2020,11,0
Northwest Territories,6/20/2020,5,0
Nunavut,6/20/2020,0,0
Repatriated travellers,6/20/2020,13,
Canada,6/20/2020,101008,8425
British Columbia,6/21/2020,2790,168
Alberta,6/21/2020,7704,152
Saskatchewan,6/21/2020,746,13
Manitoba,6/21/2020,302,7
Ontario,6/21/2020,33476,2621
Quebec,6/21/2020,54766,5417
Newfoundland and Labrador,6/21/2020,261,3
New Brunswick,6/21/2020,164,2
Nova Scotia,6/21/2020,1061,62
Prince Edward Island,6/21/2020,27,0
Yukon,6/21/2020,11,0
Northwest Territories,6/21/2020,5,0
Nunavut,6/21/2020,0,0
Repatriated travellers,6/21/2020,13,
Canada,6/21/2020,101326,8445
British Columbia,6/22/2020,2822,169
Alberta,6/22/2020,7736,153
Saskatchewan,6/22/2020,751,13
Manitoba,6/22/2020,303,7
Ontario,6/22/2020,33637,2624
Quebec,6/22/2020,54835,5417
Newfoundland and Labrador,6/22/2020,261,3
New Brunswick,6/22/2020,164,2
Nova Scotia,6/22/2020,1061,63
Prince Edward Island,6/22/2020,27,0
Yukon,6/22/2020,11,0
Northwest Territories,6/22/2020,5,0
Nunavut,6/22/2020,0,0
Repatriated travellers,6/22/2020,13,
Canada,6/22/2020,101626,8451
British Columbia,6/23/2020,2835,170
Alberta,6/23/2020,7781,153
Saskatchewan,6/23/2020,753,13
Manitoba,6/23/2020,303,7
Ontario,6/23/2020,33853,2634
Quebec,6/23/2020,54884,5424
Newfoundland and Labrador,6/23/2020,261,3
New Brunswick,6/23/2020,165,2
Nova Scotia,6/23/2020,1061,63
Prince Edward Island,6/23/2020,27,0
Yukon,6/23/2020,11,0
Northwest Territories,6/23/2020,5,0
Nunavut,6/23/2020,0,0
Repatriated travellers,6/23/2020,13,
Canada,6/23/2020,101952,8469
British Columbia,6/24/2020,2849,171
Alberta,6/24/2020,7825,153
Saskatchewan,6/24/2020,757,13
Manitoba,6/24/2020,304,7
Ontario,6/24/2020,34016,2646
Quebec,6/24/2020,54937,5441
Newfoundland and Labrador,6/24/2020,261,3
New Brunswick,6/24/2020,165,2
Nova Scotia,6/24/2020,1061,63
Prince Edward Island,6/24/2020,27,0
Yukon,6/24/2020,11,0
Northwest Territories,6/24/2020,5,0
Nunavut,6/24/2020,0,0
Repatriated travellers,6/24/2020,13,
Canada,6/24/2020,102231,8499
British Columbia,6/25/2020,2869,173
Alberta,6/25/2020,7851,154
Saskatchewan,6/25/2020,759,13
Manitoba,6/25/2020,305,7
Ontario,6/25/2020,34205,2656
Quebec,6/25/2020,55079,5448
Newfoundland and Labrador,6/25/2020,261,3
New Brunswick,6/25/2020,165,2
Nova Scotia,6/25/2020,1061,63
Prince Edward Island,6/25/2020,27,0
Yukon,6/25/2020,11,0
Northwest Territories,6/25/2020,5,0
Nunavut,6/25/2020,0,0
Repatriated travellers,6/25/2020,13,0
Canada,6/25/2020,102611,8519
British Columbia,6/26/2020,2878,174
Alberta,6/26/2020,7888,154
Saskatchewan,6/26/2020,772,13
Manitoba,6/26/2020,307,7
Ontario,6/26/2020,34316,2659
Quebec,6/26/2020,55079,5448
Newfoundland and Labrador,6/26/2020,261,3
New Brunswick,6/26/2020,165,2
Nova Scotia,6/26/2020,1061,63
Prince Edward Island,6/26/2020,27,0
Yukon,6/26/2020,11,0
Northwest Territories,6/26/2020,5,0
Nunavut,6/26/2020,0,0
Repatriated travellers,6/26/2020,13,
Canada,6/26/2020,102783,8523
British Columbia,6/27/2020,2878,174
Alberta,6/27/2020,7957,154
Saskatchewan,6/27/2020,777,13
Manitoba,6/27/2020,311,7
Ontario,6/27/2020,34476,2667
Quebec,6/27/2020,55079,5448
Newfoundland and Labrador,6/27/2020,261,3
New Brunswick,6/27/2020,165,2
Nova Scotia,6/27/2020,1061,63
Prince Edward Island,6/27/2020,27,0
Yukon,6/27/2020,11,0
Northwest Territories,6/27/2020,5,0
Nunavut,6/27/2020,0,0
Repatriated travellers,6/27/2020,13,
Canada,6/27/2020,103021,8531
British Columbia,6/28/2020,2878,174
Alberta,6/28/2020,7996,154
Saskatchewan,6/28/2020,778,13
Manitoba,6/28/2020,311,7
Ontario,6/28/2020,34654,2673
Quebec,6/28/2020,55079,5448
Newfoundland and Labrador,6/28/2020,261,3
New Brunswick,6/28/2020,165,2
Nova Scotia,6/28/2020,1061,63
Prince Edward Island,6/28/2020,27,0
Yukon,6/28/2020,11,0
Northwest Territories,6/28/2020,5,0
Nunavut,6/28/2020,0,0
Repatriated travellers,6/28/2020,13,
Canada,6/28/2020,103239,8537
British Columbia,6/29/2020,2904,174
Alberta,6/29/2020,8067,154
Saskatchewan,6/29/2020,779,13
Manitoba,6/29/2020,313,7
Ontario,6/29/2020,34911,2680
Quebec,6/29/2020,55390,5485
Newfoundland and Labrador,6/29/2020,261,3
New Brunswick,6/29/2020,165,2
Nova Scotia,6/29/2020,1061,63
Prince Edward Island,6/29/2020,27,0
Yukon,6/29/2020,11,0
Northwest Territories,6/29/2020,5,0
Nunavut,6/29/2020,0,0
Repatriated travellers,6/29/2020,13,
Canada,6/29/2020,103907,8581
British Columbia,6/30/2020,2916,174
Alberta,6/30/2020,8108,154
Saskatchewan,6/30/2020,785,13
Manitoba,6/30/2020,314,7
Ontario,6/30/2020,35068,2687
Quebec,6/30/2020,55458,5503
Newfoundland and Labrador,6/30/2020,261,3
New Brunswick,6/30/2020,165,2
Nova Scotia,6/30/2020,1062,63
Prince Edward Island,6/30/2020,27,0
Yukon,6/30/2020,11,0
Northwest Territories,6/30/2020,5,0
Nunavut,6/30/2020,0,0
Repatriated travellers,6/30/2020,13,
Canada,6/30/2020,104193,8606
British Columbia,7/1/2020,2916,174
Alberta,7/1/2020,8108,154
Saskatchewan,7/1/2020,785,13
Manitoba,7/1/2020,314,7
Ontario,7/1/2020,35068,2687
Quebec,7/1/2020,55458,5503
Newfoundland and Labrador,7/1/2020,261,3
New Brunswick,7/1/2020,165,2
Nova Scotia,7/1/2020,1062,63
Prince Edward Island,7/1/2020,27,0
Yukon,7/1/2020,11,0
Northwest Territories,7/1/2020,5,0
Nunavut,7/1/2020,0,0
Repatriated travellers,7/1/2020,13,
Canada,7/1/2020,104193,8606
British Columbia,7/2/2020,2940,177
Alberta,7/2/2020,8202,155
Saskatchewan,7/2/2020,795,14
Manitoba,7/2/2020,314,7
Ontario,7/2/2020,35370,2695
Quebec,7/2/2020,55593,5541
Newfoundland and Labrador,7/2/2020,261,3
New Brunswick,7/2/2020,165,2
Nova Scotia,7/2/2020,1064,63
Prince Edward Island,7/2/2020,27,0
Yukon,7/2/2020,11,0
Northwest Territories,7/2/2020,5,0
Nunavut,7/2/2020,0,0
Repatriated travellers,7/2/2020,13,
Canada,7/2/2020,104760,8657
British Columbia,7/3/2020,2947,177
Alberta,7/3/2020,8259,155
Saskatchewan,7/3/2020,796,14
Manitoba,7/3/2020,314,7
Ontario,7/3/2020,35535,2697
Quebec,7/3/2020,55682,5560
Newfoundland and Labrador,7/3/2020,261,3
New Brunswick,7/3/2020,165,2
Nova Scotia,7/3/2020,1064,63
Prince Edward Island,7/3/2020,27,0
Yukon,7/3/2020,11,0
Northwest Territories,7/3/2020,5,0
Nunavut,7/3/2020,0,0
Repatriated travellers,7/3/2020,13,
Canada,7/3/2020,105079,8678
British Columbia,7/4/2020,2947,177
Alberta,7/4/2020,8259,155
Saskatchewan,7/4/2020,796,14
Manitoba,7/4/2020,314,7
Ontario,7/4/2020,35656,2702
Quebec,7/4/2020,55784,5566
Newfoundland and Labrador,7/4/2020,261,3
New Brunswick,7/4/2020,165,2
Nova Scotia,7/4/2020,1064,63
Prince Edward Island,7/4/2020,30,0
Yukon,7/4/2020,11,0
Northwest Territories,7/4/2020,5,0
Nunavut,7/4/2020,0,0
Repatriated travellers,7/4/2020,13,
Canada,7/4/2020,105305,8689
British Columbia,7/5/2020,2947,177
Alberta,7/5/2020,8259,155
Saskatchewan,7/5/2020,796,14
Manitoba,7/5/2020,314,7
Ontario,7/5/2020,35794,2704
Quebec,7/5/2020,55863,5574
Newfoundland and Labrador,7/5/2020,261,3
New Brunswick,7/5/2020,165,2
Nova Scotia,7/5/2020,1064,63
Prince Edward Island,7/5/2020,32,0
Yukon,7/5/2020,11,0
Northwest Territories,7/5/2020,5,0
Nunavut,7/5/2020,0,0
Repatriated travellers,7/5/2020,13,
Canada,7/5/2020,105524,8699
British Columbia,7/6/2020,2978,183
Alberta,7/6/2020,8389,155
Saskatchewan,7/6/2020,805,14
Manitoba,7/6/2020,314,7
Ontario,7/6/2020,35948,2704
Quebec,7/6/2020,55937,5577
Newfoundland and Labrador,7/6/2020,261,3
New Brunswick,7/6/2020,165,2
Nova Scotia,7/6/2020,1065,63
Prince Edward Island,7/6/2020,32,0
Yukon,7/6/2020,11,0
Northwest Territories,7/6/2020,5,0
Nunavut,7/6/2020,0,0
Repatriated travellers,7/6/2020,13,
Canada,7/6/2020,105923,8708
British Columbia,7/7/2020,2990,183
Alberta,7/7/2020,8436,157
Saskatchewan,7/7/2020,806,15
Manitoba,7/7/2020,314,7
Ontario,7/7/2020,36060,2706
Quebec,7/7/2020,55997,5590
Newfoundland and Labrador,7/7/2020,261,3
New Brunswick,7/7/2020,165,2
Nova Scotia,7/7/2020,1065,63
Prince Edward Island,7/7/2020,32,0
Yukon,7/7/2020,11,0
Northwest Territories,7/7/2020,5,0
Nunavut,7/7/2020,0,0
Repatriated travellers,7/7/2020,13,
Canada,7/7/2020,106155,8726
British Columbia,7/8/2020,3008,186
Alberta,7/8/2020,8482,158
Saskatchewan,7/8/2020,808,15
Manitoba,7/8/2020,314,7
Ontario,7/8/2020,36178,2715
Quebec,7/8/2020,56079,5603
Newfoundland and Labrador,7/8/2020,261,3
New Brunswick,7/8/2020,165,2
Nova Scotia,7/8/2020,1066,63
Prince Edward Island,7/8/2020,32,0
Yukon,7/8/2020,11,0
Northwest Territories,7/8/2020,5,0
Nunavut,7/8/2020,0,0
Repatriated travellers,7/8/2020,13,
Canada,7/8/2020,106422,8752
British Columbia,7/9/2020,3028,186
Alberta,7/9/2020,8519,161
Saskatchewan,7/9/2020,813,15
Manitoba,7/9/2020,314,7
Ontario,7/9/2020,36348,2718
Quebec,7/9/2020,56216,5609
Newfoundland and Labrador,7/9/2020,261,3
New Brunswick,7/9/2020,166,2
Nova Scotia,7/9/2020,1066,63
Prince Edward Island,7/9/2020,33,0
Yukon,7/9/2020,11,0
Northwest Territories,7/9/2020,5,0
Nunavut,7/9/2020,0,0
Repatriated travellers,7/9/2020,13,
Canada,7/9/2020,106793,8764
British Columbia,7/10/2020,3053,187
Alberta,7/10/2020,8596,160
Saskatchewan,7/10/2020,815,15
Manitoba,7/10/2020,314,7
Ontario,7/10/2020,36464,2725
Quebec,7/10/2020,56316,5612
Newfoundland and Labrador,7/10/2020,262,3
New Brunswick,7/10/2020,166,2
Nova Scotia,7/10/2020,1066,63
Prince Edward Island,7/10/2020,33,0
Yukon,7/10/2020,11,0
Northwest Territories,7/10/2020,5,0
Nunavut,7/10/2020,0,0
Repatriated travellers,7/10/2020,13,
Canada,7/10/2020,107114,8774
British Columbia,7/11/2020,3053,187
Alberta,7/11/2020,8596,160
Saskatchewan,7/11/2020,815,15
Manitoba,7/11/2020,314,7
Ontario,7/11/2020,36594,2731
Quebec,7/11/2020,56407,5620
Newfoundland and Labrador,7/11/2020,262,3
New Brunswick,7/11/2020,166,2
Nova Scotia,7/11/2020,1066,63
Prince Edward Island,7/11/2020,33,0
Yukon,7/11/2020,11,0
Northwest Territories,7/11/2020,5,0
Nunavut,7/11/2020,0,0
Repatriated travellers,7/11/2020,13,
Canada,7/11/2020,107335,8788
British Columbia,7/12/2020,3053,187
Alberta,7/12/2020,8596,160
Saskatchewan,7/12/2020,815,15
Manitoba,7/12/2020,314,7
Ontario,7/12/2020,36723,2734
Quebec,7/12/2020,56521,5627
Newfoundland and Labrador,7/12/2020,262,3
New Brunswick,7/12/2020,166,2
Nova Scotia,7/12/2020,1066,63
Prince Edward Island,7/12/2020,34,0
Yukon,7/12/2020,11,0
Northwest Territories,7/12/2020,5,0
Nunavut,7/12/2020,0,0
Repatriated travellers,7/12/2020,13,
Canada,7/12/2020,107579,8798
British Columbia,7/13/2020,3115,189
Alberta,7/13/2020,8826,161
Saskatchewan,7/13/2020,871,15
Manitoba,7/13/2020,314,7
Ontario,7/13/2020,36839,2737
Quebec,7/13/2020,56621,5628
Newfoundland and Labrador,7/13/2020,262,3
New Brunswick,7/13/2020,166,2
Nova Scotia,7/13/2020,1066,63
Prince Edward Island,7/13/2020,35,0
Yukon,7/13/2020,11,0
Northwest Territories,7/13/2020,5,0
Nunavut,7/13/2020,0,0
Repatriated travellers,7/13/2020,13,
Canada,7/13/2020,108144,8805
British Columbia,7/14/2020,3128,189
Alberta,7/14/2020,8912,163
Saskatchewan,7/14/2020,876,15
Manitoba,7/14/2020,319,7
Ontario,7/14/2020,36950,2738
Quebec,7/14/2020,56730,5633
Newfoundland and Labrador,7/14/2020,262,3
New Brunswick,7/14/2020,167,2
Nova Scotia,7/14/2020,1066,63
Prince Edward Island,7/14/2020,36,0
Yukon,7/14/2020,11,0
Northwest Territories,7/14/2020,5,0
Nunavut,7/14/2020,0,0
Repatriated travellers,7/14/2020,13,
Canada,7/14/2020,108475,8813
British Columbia,7/15/2020,3149,189
Alberta,7/15/2020,8994,163
Saskatchewan,7/15/2020,881,15
Manitoba,7/15/2020,319,7
Ontario,7/15/2020,37052,2752
Quebec,7/15/2020,56859,5636
Newfoundland and Labrador,7/15/2020,262,3
New Brunswick,7/15/2020,168,2
Nova Scotia,7/15/2020,1067,63
Prince Edward Island,7/15/2020,36,0
Yukon,7/15/2020,11,0
Northwest Territories,7/15/2020,5,0
Nunavut,7/15/2020,0,0
Repatriated travellers,7/15/2020,13,
Canada,7/15/2020,108816,8830
British Columbia,7/16/2020,3170,189
Alberta,7/16/2020,9114,165
Saskatchewan,7/16/2020,923,15
Manitoba,7/16/2020,320,7
Ontario,7/16/2020,37163,2757
Quebec,7/16/2020,57001,5646
Newfoundland and Labrador,7/16/2020,262,3
New Brunswick,7/16/2020,168,2
Nova Scotia,7/16/2020,1067,63
Prince Edward Island,7/16/2020,36,0
Yukon,7/16/2020,11,0
Northwest Territories,7/16/2020,5,0
Nunavut,7/16/2020,0,0
Repatriated travellers,7/16/2020,13,
Canada,7/16/2020,109253,8847
British Columbia,7/17/2020,3198,189
Alberta,7/17/2020,9219,167
Saskatchewan,7/17/2020,936,15
Manitoba,7/17/2020,325,7
Ontario,7/17/2020,37274,2766
Quebec,7/17/2020,57142,5647
Newfoundland and Labrador,7/17/2020,262,3
New Brunswick,7/17/2020,168,2
Nova Scotia,7/17/2020,1067,63
Prince Edward Island,7/17/2020,36,0
Yukon,7/17/2020,13,0
Northwest Territories,7/17/2020,5,0
Nunavut,7/17/2020,0,0
Repatriated travellers,7/17/2020,13,
Canada,7/17/2020,109658,8859
British Columbia,7/18/2020,3198,189
Alberta,7/18/2020,9219,167
Saskatchewan,7/18/2020,941,15
Manitoba,7/18/2020,326,7
Ontario,7/18/2020,37440,2768
Quebec,7/18/2020,57300,5654
Newfoundland and Labrador,7/18/2020,262,3
New Brunswick,7/18/2020,168,2
Nova Scotia,7/18/2020,1067,63
Prince Edward Island,7/18/2020,36,0
Yukon,7/18/2020,13,0
Northwest Territories,7/18/2020,5,0
Nunavut,7/18/2020,0,0
Repatriated travellers,7/18/2020,13,
Canada,7/18/2020,109988,8868
British Columbia,7/19/2020,3198,189
Alberta,7/19/2020,9219,167
Saskatchewan,7/19/2020,943,15
Manitoba,7/19/2020,332,7
Ontario,7/19/2020,37604,2771
Quebec,7/19/2020,57466,5655
Newfoundland and Labrador,7/19/2020,262,3
New Brunswick,7/19/2020,169,2
Nova Scotia,7/19/2020,1067,63
Prince Edward Island,7/19/2020,36,0
Yukon,7/19/2020,13,0
Northwest Territories,7/19/2020,5,0
Nunavut,7/19/2020,0,0
Repatriated travellers,7/19/2020,13,
Canada,7/19/2020,110327,8872
British Columbia,7/20/2020,3300,189
Alberta,7/20/2020,9587,170
Saskatchewan,7/20/2020,962,15
Manitoba,7/20/2020,343,7
Ontario,7/20/2020,37739,2772
Quebec,7/20/2020,57616,5657
Newfoundland and Labrador,7/20/2020,262,3
New Brunswick,7/20/2020,170,2
Nova Scotia,7/20/2020,1067,63
Prince Edward Island,7/20/2020,36,0
Yukon,7/20/2020,13,0
Northwest Territories,7/20/2020,5,0
Nunavut,7/20/2020,0,0
Repatriated travellers,7/20/2020,13,
Canada,7/20/2020,111113,8878
British Columbia,7/21/2020,3328,189
Alberta,7/21/2020,9728,172
Saskatchewan,7/21/2020,970,15
Manitoba,7/21/2020,353,7
Ontario,7/21/2020,37942,2773
Quebec,7/21/2020,57796,5658
Newfoundland and Labrador,7/21/2020,263,3
New Brunswick,7/21/2020,170,2
Nova Scotia,7/21/2020,1067,63
Prince Edward Island,7/21/2020,36,0
Yukon,7/21/2020,13,0
Northwest Territories,7/21/2020,5,0
Nunavut,7/21/2020,0,0
Repatriated travellers,7/21/2020,13,
Canada,7/21/2020,111684,8882
British Columbia,7/22/2020,3362,189
Alberta,7/22/2020,9861,174
Saskatchewan,7/22/2020,1030,15
Manitoba,7/22/2020,361,7
Ontario,7/22/2020,38107,2775
Quebec,7/22/2020,57938,5662
Newfoundland and Labrador,7/22/2020,264,3
New Brunswick,7/22/2020,170,2
Nova Scotia,7/22/2020,1067,63
Prince Edward Island,7/22/2020,36,0
Yukon,7/22/2020,13,0
Northwest Territories,7/22/2020,5,0
Nunavut,7/22/2020,0,0
Repatriated travellers,7/22/2020,13,
Canada,7/22/2020,112227,8890
British Columbia,7/23/2020,3392,190
Alberta,7/23/2020,9975,176
Saskatchewan,7/23/2020,1072,16
Manitoba,7/23/2020,362,7
Ontario,7/23/2020,38210,2775
Quebec,7/23/2020,58080,5662
Newfoundland and Labrador,7/23/2020,264,3
New Brunswick,7/23/2020,170,2
Nova Scotia,7/23/2020,1067,63
Prince Edward Island,7/23/2020,36,0
Yukon,7/23/2020,13,0
Northwest Territories,7/23/2020,5,0
Nunavut,7/23/2020,0,0
Repatriated travellers,7/23/2020,13,
Canada,7/23/2020,112659,8894
British Columbia,7/24/2020,3419,191
Alberta,7/24/2020,10086,178
Saskatchewan,7/24/2020,1099,16
Manitoba,7/24/2020,371,7
Ontario,7/24/2020,38405,2778
Quebec,7/24/2020,58243,5663
Newfoundland and Labrador,7/24/2020,265,3
New Brunswick,7/24/2020,170,2
Nova Scotia,7/24/2020,1067,63
Prince Edward Island,7/24/2020,36,0
Yukon,7/24/2020,14,0
Northwest Territories,7/24/2020,5,0
Nunavut,7/24/2020,0,0
Repatriated travellers,7/24/2020,13,
Canada,7/24/2020,113193,8901
British Columbia,7/25/2020,3419,191
Alberta,7/25/2020,10086,178
Saskatchewan,7/25/2020,1136,16
Manitoba,7/25/2020,375,7
Ontario,7/25/2020,38543,2779
Quebec,7/25/2020,58414,5666
Newfoundland and Labrador,7/25/2020,265,3
New Brunswick,7/25/2020,170,2
Nova Scotia,7/25/2020,1067,63
Prince Edward Island,7/25/2020,36,0
Yukon,7/25/2020,14,0
Northwest Territories,7/25/2020,5,0
Nunavut,7/25/2020,0,0
Repatriated travellers,7/25/2020,13,
Canada,7/25/2020,113543,8905
British Columbia,7/26/2020,3419,191
Alberta,7/26/2020,10086,178
Saskatchewan,7/26/2020,1178,16
Manitoba,7/26/2020,381,7
Ontario,7/26/2020,38680,2783
Quebec,7/26/2020,58583,5667
Newfoundland and Labrador,7/26/2020,266,3
New Brunswick,7/26/2020,170,2
Nova Scotia,7/26/2020,1067,63
Prince Edward Island,7/26/2020,36,0
Yukon,7/26/2020,14,0
Northwest Territories,7/26/2020,5,0
Nunavut,7/26/2020,0,0
Repatriated travellers,7/26/2020,13,
Canada,7/26/2020,113898,8910
British Columbia,7/27/2020,3500,193
Alberta,7/27/2020,10390,186
Saskatchewan,7/27/2020,1209,16
Manitoba,7/27/2020,387,7
Ontario,7/27/2020,38799,2784
Quebec,7/27/2020,58728,5667
Newfoundland and Labrador,7/27/2020,266,3
New Brunswick,7/27/2020,170,2
Nova Scotia,7/27/2020,1067,63
Prince Edward Island,7/27/2020,36,0
Yukon,7/27/2020,14,0
Northwest Territories,7/27/2020,5,0
Nunavut,7/27/2020,0,0
Repatriated travellers,7/27/2020,13,
Canada,7/27/2020,114584,8921
British Columbia,7/28/2020,3523,194
Alberta,7/28/2020,10470,187
Saskatchewan,7/28/2020,1218,17
Manitoba,7/28/2020,391,8
Ontario,7/28/2020,38910,2788
Quebec,7/28/2020,58897,5670
Newfoundland and Labrador,7/28/2020,266,3
New Brunswick,7/28/2020,170,2
Nova Scotia,7/28/2020,1067,63
Prince Edward Island,7/28/2020,36,0
Yukon,7/28/2020,14,0
Northwest Territories,7/28/2020,5,0
Nunavut,7/28/2020,0,0
Repatriated travellers,7/28/2020,13,
Canada,7/28/2020,114980,8932
British Columbia,7/29/2020,3562,194
Alberta,7/29/2020,10603,190
Saskatchewan,7/29/2020,1268,17
Manitoba,7/29/2020,393,8
Ontario,7/29/2020,38986,2789
Quebec,7/29/2020,59009,5672
Newfoundland and Labrador,7/29/2020,266,3
New Brunswick,7/29/2020,170,2
Nova Scotia,7/29/2020,1067,64
Prince Edward Island,7/29/2020,36,0
Yukon,7/29/2020,14,0
Northwest Territories,7/29/2020,5,0
Nunavut,7/29/2020,0,0
Repatriated travellers,7/29/2020,13,
Canada,7/29/2020,115392,8939
British Columbia,7/30/2020,3591,194
Alberta,7/30/2020,10716,195
Saskatchewan,7/30/2020,1306,18
Manitoba,7/30/2020,395,8
Ontario,7/30/2020,39075,2792
Quebec,7/30/2020,59131,5673
Newfoundland and Labrador,7/30/2020,266,3
New Brunswick,7/30/2020,170,2
Nova Scotia,7/30/2020,1067,64
Prince Edward Island,7/30/2020,36,0
Yukon,7/30/2020,14,0
Northwest Territories,7/30/2020,5,0
Nunavut,7/30/2020,0,0
Repatriated travellers,7/30/2020,13,
Canada,7/30/2020,115785,8949
British Columbia,7/31/2020,3641,195
Alberta,7/31/2020,10843,196
Saskatchewan,7/31/2020,1319,18
Manitoba,7/31/2020,401,8
Ontario,7/31/2020,39209,2795
Quebec,7/31/2020,59312,5674
Newfoundland and Labrador,7/31/2020,266,3
New Brunswick,7/31/2020,170,2
Nova Scotia,7/31/2020,1069,64
Prince Edward Island,7/31/2020,36,0
Yukon,7/31/2020,14,0
Northwest Territories,7/31/2020,5,0
Nunavut,7/31/2020,0,0
Repatriated travellers,7/31/2020,13,
Canada,7/31/2020,116298,8955
British Columbia,8/1/2020,3641,195
Alberta,8/1/2020,10843,196
Saskatchewan,8/1/2020,1334,18
Manitoba,8/1/2020,403,8
Ontario,8/1/2020,39333,2797
Quebec,8/1/2020,59458,5678
Newfoundland and Labrador,8/1/2020,266,3
New Brunswick,8/1/2020,170,2
Nova Scotia,8/1/2020,1069,64
Prince Edward Island,8/1/2020,36,0
Yukon,8/1/2020,14,0
Northwest Territories,8/1/2020,5,0
Nunavut,8/1/2020,0,0
Repatriated travellers,8/1/2020,13,
Canada,8/1/2020,116585,8961
British Columbia,8/2/2020,3641,195
Alberta,8/2/2020,10843,196
Saskatchewan,8/2/2020,1342,18
Manitoba,8/2/2020,421,8
Ontario,8/2/2020,39449,2798
Quebec,8/2/2020,59599,5681
Newfoundland and Labrador,8/2/2020,266,3
New Brunswick,8/2/2020,170,2
Nova Scotia,8/2/2020,1071,64
Prince Edward Island,8/2/2020,36,0
Yukon,8/2/2020,14,0
Northwest Territories,8/2/2020,5,0
Nunavut,8/2/2020,0,0
Repatriated travellers,8/2/2020,13,
Canada,8/2/2020,116870,8965
British Columbia,8/3/2020,3641,195
Alberta,8/3/2020,10843,196
Saskatchewan,8/3/2020,1359,18
Manitoba,8/3/2020,428,8
Ontario,8/3/2020,39449,2798
Quebec,8/3/2020,59722,5683
Newfoundland and Labrador,8/3/2020,266,3
New Brunswick,8/3/2020,170,2
Nova Scotia,8/3/2020,1071,64
Prince Edward Island,8/3/2020,36,0
Yukon,8/3/2020,14,0
Northwest Territories,8/3/2020,5,0
Nunavut,8/3/2020,0,0
Repatriated travellers,8/3/2020,13,
Canada,8/3/2020,117017,8967
British Columbia,8/4/2020,3787,195
Alberta,8/4/2020,11146,201
Saskatchewan,8/4/2020,1368,18
Manitoba,8/4/2020,428,8
Ontario,8/4/2020,39628,2802
Quebec,8/4/2020,59845,5685
Newfoundland and Labrador,8/4/2020,266,3
New Brunswick,8/4/2020,170,2
Nova Scotia,8/4/2020,1071,64
Prince Edward Island,8/4/2020,36,0
Yukon,8/4/2020,14,0
Northwest Territories,8/4/2020,5,0
Nunavut,8/4/2020,0,0
Repatriated travellers,8/4/2020,13,
Canada,8/4/2020,117777,8978
British Columbia,8/5/2020,3834,195
Alberta,8/5/2020,11240,203
Saskatchewan,8/5/2020,1376,18
Manitoba,8/5/2020,429,8
Ontario,8/5/2020,39714,2802
Quebec,8/5/2020,60000,5687
Newfoundland and Labrador,8/5/2020,266,3
New Brunswick,8/5/2020,174,2
Nova Scotia,8/5/2020,1071,64
Prince Edward Island,8/5/2020,36,0
Yukon,8/5/2020,14,0
Northwest Territories,8/5/2020,5,0
Nunavut,8/5/2020,0,0
Repatriated travellers,8/5/2020,13,
Canada,8/5/2020,118172,8982
British Columbia,8/6/2020,3881,195
Alberta,8/6/2020,11296,205
Saskatchewan,8/6/2020,1387,19
Manitoba,8/6/2020,459,8
Ontario,8/6/2020,39809,2803
Quebec,8/6/2020,60133,5687
Newfoundland and Labrador,8/6/2020,266,3
New Brunswick,8/6/2020,176,2
Nova Scotia,8/6/2020,1071,64
Prince Edward Island,8/6/2020,36,0
Yukon,8/6/2020,14,0
Northwest Territories,8/6/2020,5,0
Nunavut,8/6/2020,0,0
Repatriated travellers,8/6/2020,13,
Canada,8/6/2020,118546,8986
British Columbia,8/7/2020,3934,195
