prname,date,numconf,numdeaths
New Brunswick,3/24/2020,18,0
Nova Scotia,3/24/2020,51,0
Prince Edward Island,3/24/2020,3,0
Yukon,3/24/2020,2,0
Northwest Territories,3/24/2020,1,0
Nunavut,3/24/2020,0,0
Repatriated travellers,3/24/2020,13,0
Canada,3/24/2020,1959,27
British Columbia,3/25/2020,659,14
Alberta,3/25/2020,419,2
Saskatchewan,3/25/2020,86,0
Manitoba,3/25/2020,11,0
Ontario,3/25/2020,688,13
Quebec,3/25/2020,1339,6
Newfoundland and Labrador,3/25/2020,67,0
New Brunswick,3/25/2020,26,0
Nova Scotia,3/25/2020,68,0
Prince Edward Island,3/25/2020,5,0
Yukon,3/25/2020,3,0
Northwest Territories,3/25/2020,1,0
Nunavut,3/25/2020,0,0
Repatriated travellers,3/25/2020,13,0
Canada,3/25/2020,3385,35
British Columbia,3/26/2020,725,14
Alberta,3/26/2020,486,2
Saskatchewan,3/26/2020,95,0
Manitoba,3/26/2020,11,0
Ontario,3/26/2020,858,15
Quebec,3/26/2020,1629,8
Newfoundland and Labrador,3/26/2020,82,0
New Brunswick,3/26/2020,33,0
Nova Scotia,3/26/2020,73,0
Prince Edward Island,3/26/2020,9,0
Yukon,3/26/2020,3,0
Northwest Territories,3/26/2020,1,0
Nunavut,3/26/2020,0,0
Repatriated travellers,3/26/2020,13,0
Canada,3/26/2020,4018,39
British Columbia,3/27/2020,725,14
Alberta,3/27/2020,542,2
Saskatchewan,3/27/2020,104,0
Manitoba,3/27/2020,25,1
Ontario,3/27/2020,993,18
Quebec,3/27/2020,2021,18
Newfoundland and Labrador,3/27/2020,102,0
New Brunswick,3/27/2020,45,0
Nova Scotia,3/27/2020,90,0
Prince Edward Island,3/27/2020,11,0
Yukon,3/27/2020,3,0
Northwest Territories,3/27/2020,1,0
Nunavut,3/27/2020,0,0
Repatriated travellers,3/27/2020,13,0
Canada,3/27/2020,4675,53
British Columbia,3/28/2020,884,16
Alberta,3/28/2020,542,2
Saskatchewan,3/28/2020,134,0
Manitoba,3/28/2020,25,1
Ontario,3/28/2020,993,18
Quebec,3/28/2020,2498,22
Newfoundland and Labrador,3/28/2020,120,0
New Brunswick,3/28/2020,51,0
Nova Scotia,3/28/2020,110,0
Prince Edward Island,3/28/2020,11,0
Yukon,3/28/2020,4,0
Northwest Territories,3/28/2020,1,0
Nunavut,3/28/2020,0,0
Repatriated travellers,3/28/2020,13,0
Canada,3/28/2020,5386,59
British Columbia,3/29/2020,884,17
Alberta,3/29/2020,621,2
Saskatchewan,3/29/2020,134,0
Manitoba,3/29/2020,69,1
Ontario,3/29/2020,1355,19
Quebec,3/29/2020,2840,22
Newfoundland and Labrador,3/29/2020,135,0
New Brunswick,3/29/2020,66,0
Nova Scotia,3/29/2020,122,0
Prince Edward Island,3/29/2020,11,0
Yukon,3/29/2020,4,0
Northwest Territories,3/29/2020,1,0
Nunavut,3/29/2020,0,0
Repatriated travellers,3/29/2020,13,0
Canada,3/29/2020,6255,61
British Columbia,3/30/2020,960,19
Alberta,3/30/2020,690,8
Saskatchewan,3/30/2020,175,2
Manitoba,3/30/2020,83,1
Ontario,3/30/2020,1706,33
Quebec,3/30/2020,3430,25
Newfoundland and Labrador,3/30/2020,148,1
New Brunswick,3/30/2020,68,0
Nova Scotia,3/30/2020,127,0
Prince Edward Island,3/30/2020,18,0
Yukon,3/30/2020,5,0
Northwest Territories,3/30/2020,1,0
Nunavut,3/30/2020,0,0
Repatriated travellers,3/30/2020,13,0
Canada,3/30/2020,7424,89
British Columbia,3/31/2020,970,19
Alberta,3/31/2020,754,9
Saskatchewan,3/31/2020,184,2
Manitoba,3/31/2020,91,1
Ontario,3/31/2020,1966,33
Quebec,3/31/2020,4162,31
Newfoundland and Labrador,3/31/2020,152,1
New Brunswick,3/31/2020,70,0
Nova Scotia,3/31/2020,147,0
Prince Edward Island,3/31/2020,21,0
Yukon,3/31/2020,5,0
Northwest Territories,3/31/2020,1,0
Nunavut,3/31/2020,0,0
Repatriated travellers,3/31/2020,13,0
Canada,3/31/2020,8536,96
British Columbia,4/1/2020,1066,25
Alberta,4/1/2020,754,9
Saskatchewan,4/1/2020,193,3
Manitoba,4/1/2020,109,1
Ontario,4/1/2020,2392,37
